pickup_hour,pickup_hour_label,trips,total_revenue,is_peak_hour
0,00:00,228699,7041066.01,false
1,01:00,149322,4208519.21,false
2,02:00,98441,2648069.72,false
3,03:00,68525,1919701.64,false
4,04:00,56657,1860731.44,false
5,05:00,66513,2423823.54,false
6,06:00,130017,4168630.37,false
7,07:00,237714,7097776.12,false
8,08:00,311463,9158629.95,false
9,09:00,329164,9390621.41,false
10,10:00,335190,9636230.51,false
11,11:00,363216,10731292.13,false
12,12:00,392826,11599285.27,false
13,13:00,405220,12363771.68,false
14,14:00,446902,14066644.26,false
15,15:00,458713,14499122.97,false
16,16:00,438440,14351483.99,false
17,17:00,482078,14976101.53,false
18,18:00,491225,14558333.05,true
19,19:00,435193,13059257.49,false
20,20:00,427369,12555705.07,false
21,21:00,460168,13852597.54,false
22,22:00,435484,13377575.04,false
23,23:00,340280,10670346.33,false
